familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
xgboost,6,8.3415687084198,,,,,,0.6927368147705252,0.6802297328932898,0.23193182051181793,0.6640534400939941,0.5874516646232198,0.5448334101028712,0.8690062203066072,0.6697557661092447,0.2,0.7678251438272187,0.39075642824172974,600.0,,,8.0,0.8,0.14447746112718687,50.0,0.1,1.0
xgboost,7,4.563853740692139,,,,,,0.6993358597141396,0.6876489072727029,0.2276454120874405,0.6489437222480774,0.5912123927190418,0.5471138105656105,0.8757652936278592,0.6734841850523084,0.23,0.7705720079222862,0.3872736692428589,600.0,,,4.0,0.6,0.07896186801026692,1.0,1.0,0.6
xgboost,8,1.8097729682922363,,,,,,0.7004397060212505,0.6875290539717661,0.22748205065727234,0.6490119695663452,0.5859898142035272,0.5428293121534542,0.8870793946221286,0.673515302517571,0.22000000000000003,0.7866877298877676,0.38742488622665405,200.0,,,4.0,0.8,0.1563510870813346,5.0,1.0,1.0
xgboost,9,14.2730131149292,,,,,,0.6902546984039293,0.6767228524315037,0.23347288370132446,0.6687516570091248,0.5878171272281429,0.5456042504932499,0.8600675907332125,0.6676615685864472,0.2,0.7588536263321701,0.3913462162017822,600.0,,,10.0,1.0,0.07962309016748462,20.0,1.0,0.6
xgboost,10,4.347222805023193,,,,,,0.6997080367406188,0.6886138306426911,0.2275220900774002,0.649289071559906,0.5921437329057814,0.5481460899632614,0.8696184552088946,0.6724359945462809,0.23,0.7637225313590493,0.38789600133895874,400.0,,,6.0,0.8,0.09519754482692679,5.0,1.0,0.8
xgboost,11,8.363994598388672,,,,,,0.7030911722123616,0.6917878532014647,0.22567319869995117,0.6431465148925781,0.5818400452702065,0.5394052481560929,0.8990791987069598,0.6742763737878342,0.23,0.8023908327831746,0.39000368118286133,800.0,,,6.0,0.8,0.011123809168675955,5.0,1.0,0.8
xgboost,12,8.010309219360352,,,,,,0.6867839878719648,0.6735793469909388,0.23571965098381042,0.6772514581680298,0.589396868810714,0.547489126136813,0.8477004457070089,0.6652956495834094,0.2,0.7453668772988776,0.3926812708377838,600.0,,,8.0,0.8,0.2337693162284195,50.0,1.0,1.0
xgboost,13,1.7484066486358643,,,,,,0.6981499486001033,0.6865898225567116,0.22789785265922546,0.6490461826324463,0.5818636235027822,0.5396494650351717,0.8942792770730273,0.6731120163683618,0.22000000000000003,0.7977459209657644,0.3868143558502197,200.0,,,4.0,0.6,0.26288610184395456,50.0,1.0,1.0
xgboost,14,5.476595163345337,,,,,,0.6988246398129796,0.6866319586332359,0.22770482301712036,0.6481574773788452,0.5875223993209469,0.5441580807928211,0.8821080472155557,0.673094891056546,0.23,0.7803687635574837,0.38643941283226013,800.0,,,4.0,0.6,0.07357031542417702,50.0,0.1,0.6
xgboost,15,4.237392902374268,,,,,,0.698256891103956,0.6850901675522473,0.22822333872318268,0.6507775187492371,0.592473828161841,0.5482727804998305,0.8714306705196649,0.6730725580691533,0.23,0.7651372253135905,0.38751500844955444,600.0,,,4.0,0.6,0.1530883741573138,1.0,0.1,0.6
xgboost,16,4.09649395942688,,,,,,0.69711086781056,0.6854213867798794,0.2286488562822342,0.6515269875526428,0.5854357257379986,0.5427868431778042,0.8805897046578831,0.6716037392254461,0.22000000000000003,0.7809935867207394,0.3863956928253174,600.0,,,4.0,1.0,0.1601531217136121,50.0,10.0,0.6
